day,date,duration (hours),"level_of_effort (good, bad, purposeful_slow)"
1,"Monday, September 7th, 2020",2,good
2,"Tuesday, September 8th, 2020",1,good
3,"Saturday, September 12th, 2020",2,good
4,"Sunday, September 13th, 2020",3.5,good
5,"Monday, September 14th, 2020",1.5,good
6,"Tuesday, September 15th, 2020",2,good
7,"Thursday, September 17th, 2020",2.5,good
8,"Friday, September 18th, 2020",2,good
9,"Monday, September 21st, 2020",1.5,good
10,"Tuesday, September 22nd, 2020",0.5,bad
11,"Wednesday, September 23rd, 2020",0,bad
12,"Thursday, September 24th, 2020",0,bad
13,"Friday, September 25th, 2020",0,bad
14,"Saturday, September 26th, 2020",0,bad
15,"Sunday, September 27th, 2020",1,bad
16,"Monday, September 28th, 2020",3.5,good
17,"Tuesday, September 29th, 2020",2,good
18,"Wednesday, September 30th, 2020",1,bad
19,"Thursday, October 1st, 2020",2,good
20,"Friday, October 2nd, 2020",1,bad
21,"Saturday, October 3rd, 2020",0.5,bad
22,"Sunday, October 4th, 2020",1,bad
23,"Monday, October 5th, 2020",0.5,bad
24,"Tuesday, October 6th, 2020",3,good
25,"Wednesday, October 7th, 2020",2.5,good
26,"Thursday, October 8th, 2020",3.5,good
27,"Friday, October 9th, 2020",4,good
28,"Saturday, October 10th, 2020",3.5,good
29,"Sunday, October 11th, 2020",0,purposeful_slow
30,"Monday, October 12th, 2020",0,bad
31,"Tuesday, October 13th, 2020",6,good
32,"Wednesday, October 14th, 2020",4,good
33,"Thursday, October 15th, 2020",6.5,good
34,"Friday, October 16th, 2020",4.5,good
35,"Saturday, October 17th, 2020",4,good
36,"Sunday, October 18th, 2020",1.5,bad
37,"Monday, October 19th, 2020",3.5,good
38,"Tuesday, October 20th, 2020",1,purposeful_slow
39,"Wednesday, October 21st, 2020",0,purposeful_slow
40,"Thursday, October 22nd, 2020",3,good
41,"Friday, October 23th, 2020",2,bad
42,"Saturday, October 24th, 2020",1,bad
43,"Sunday, October 25th, 2020",0,bad
44,"Monday, October 26th, 2020",2.5,bad
45,"Tuesday, October 27th, 2020",2,bad
46,"Wednesday, October 28th, 2020",2,bad
47,"Thursday, October 29th, 2020",2,bad
48,"Friday, October 30th, 2020",1.5,bad
49,"Saturday, October 31th, 2020",4.5,good
50,"Sunday, November 1st, 2020",4.5,good
51,"Monday, November 2nd, 2020",4.5,good
52,"Tuesday, November 3rd, 2020",6.5,good
53,"Wednesday, November 4th, 2020",5.5,good
54,"Thursday, November 5th, 2020",4.5,good
55,"Friday, November 6th, 2020",3,good
56,"Saturday, November 7th, 2020",0,purposeful_slow
57,"Sunday, November 8th, 2020",0,purposeful_slow
58,"Monday, November 9th, 2020",1.5,bad
59,"Tuesday, November 10th, 2020",1.5,bad
60,"Wednesday, November 11th, 2020",5,good
61,"Thursday, November 12th, 2020",7.5,good
62,"Friday, November 13th, 2020",7.5,good
63,"Saturday, November 14th, 2020",0,purposeful_slow
64,"Sunday, November 15th, 2020",1,bad
65,"Monday, November 16th, 2020",1.5,purposeful_slow
66,"Tuesday, November 17th, 2020",2,purposeful_slow
67,"Wednesday, November 18th, 2020",1,purposeful_slow
68,"Thursday, November 19th, 2020",6,good